EMOTION,SIT
sadness,All my friends arranged to go for an afternoon snack and they did Ã¡ not tell me.  They told me that they did not have my phone number Ã¡ but I do not think that this was true.
disgust,When I saw a film where a black was rapeing a girl while another one was Ã¡ filming it for a pornographic movie.
shame,I was swimming in the sea and a wave took the top part of my Ã¡ bikini away.
guilt,I was looking after a child and she fell down because I was not Ã¡ paying her much attention.  One side of her face got bruised.
joy,"When I pass exams, or when a close friend of mine recovered Ã¡ from an illness,etc."
fear,"Fights that I see in the middle of the street, robberies, fear of Ã¡ darkness when going home."
anger,"During a family discussion on my future and my prospects as a Ã¡ student, they accused me of not bothering about looking for a job to Ã¡ assume my financial situation."
sadness,[ Depressions.]
disgust,"Some people whom I do not like at all, and one of the reasons is Ã¡ their physical appearance."
shame,"For example, to feel bad because of one's attire, to be among Ã¡ people who do not belong to the same social class, to give a Ã¡ wrong answer in class, to be surprised in particular situations."
guilt,Some of my friends had an argument.  I had earlier phoned one Ã¡ of them and that may have influenced him to argue.
joy,When I met a very close friend of mine after one year of Ã¡ separation.
fear,There was an earthquake for several minutes and I was on the Ã¡ eight floor.
anger,An argument among several friends because of the irrational Ã¡ behavior of one of them who fell out with us for no reason and Ã¡ said that we were to blame.
sadness,"A class-mate died after being two months in coma, after a car Ã¡ accident."
disgust,Pictures of Nazi extermination camps on a T.V program.
shame,Equivocal situation when filling a security questionnaire on Ã¡ entering a government building with several people there.
guilt,I left a boy with whom I was going around without giving him any Ã¡ explanations.
joy,When my sister was born.
fear,When they tried to rob me.
anger,When I failed an exam unfairly.
sadness,When my grandmother died.
disgust,When I see dead dogs on the road.
shame,When I went to see the doctor and had to take my clothes off so Ã¡ that he could examine me.
guilt,When my parents quarelled over something I had done and which was Ã¡ wrong.
joy,When my little sister was born.
fear,"When I was attending an authorized demonstrationand the police Ã¡ rushed brutally at the demonstrators, without any warning."
anger,"When a professor of this faculty laughed at, and was suspicious of Ã¡ a composition written by a class-mate and me."
sadness,"The death of a relative, friend, or someone I esteem."
disgust,When I saw a very disagreable scene.
shame,When I had to represent my boss at a meeting.
guilt,When I inadvertantly made some close friends and relatives feel Ã¡ bad.
joy,When I passed an exam.
fear,When they threatened me with a knife to take my money.
anger,When I failed an exam I thought I would pass.
sadness,When my dog died.
disgust,When I saw an accident where the man lost his head.
shame,When I tripped while getting on a bus.
guilt,When I hurt a person's feelings.
joy,"I had not seen my brother for five years as he was not in Spain.   Ã¡ When he arrived at the airport, I felt great joy."
fear,When two drug addicts tried to take away my money.
anger,When I saw my brother being attacked and I could not do anything.
sadness,When a class-mate died.
disgust,When a person saw that I was accused of something I had not done Ã¡ and did not do anything to defend me.
shame,When inadvertantly I found myself in the ladies room.
guilt,When I broke something and a friend of mine was blamed.
joy,I got my driving licence after they had frightened me with it's Ã¡ difficulty.
fear,"When I had to walk over three kms through a field which had wild bulls, Ã¡ because my car had broken down."
anger,"When I saw a man hitting a child of 2 years without any consideration, Ã¡ simply because the child had been leaning against a window."
sadness,A friend of mine who was driving a car ahead of me died in a Ã¡ car accident.
disgust,When I had to dissect a live mouse at school.
shame,When I was a child I had to recite a poem in a show at the end of Ã¡ the term.
guilt,"When I saw a program on Ethiopia on T.V, a fews hours earlier I Ã¡ had thrown away some clothes and food."
joy,When I saw that the mark I had obtained in an exam was a good Ã¡ one.
fear,We were in the country and I walked away from the others one Ã¡ night.  Suddenly something moved sharply in front of me and I was Ã¡ not able to see what it was.
anger,"When I was young, I became very angry as I was not allowed to Ã¡ stay up all night for the fair in my town."
sadness,When summer is over and I have to leave the town where I spend my Ã¡ holidays.
disgust,When I saw several people washing their car with water from a Ã¡ drain.
shame,When I inadvertantly entered the ladies room and met some girls Ã¡ on my way out.
guilt,I was entrusted with an object and while using it I handled it Ã¡ carelessly and it broke.
joy,"When I learned, after the ecography, that my mother was expecting a Ã¡ baby girl.  That was what I wanted."
fear,"One night, walking along a park, I began to think that some Ã¡ roughnecks would appear suddenly with knives and things like Ã¡ that."
anger,I had an exam and I had it well prepared.  I did the first part Ã¡ very well but did not know the second part.
sadness,When my parents did not let me go on a study tour.
disgust,"One day I was going through the street door of my house, when a Ã¡ man asked me for a doctor.  He then showed me his genitals and Ã¡ asked me to cure him myself."
shame,Each time the professor asks me a question in class.
guilt,I had an argument with my boyfriend.  It was my fault but my Ã¡ pride would not let me admit it.
joy,An invitation to spend 5 days at the seaside with all expenses Ã¡ paid.
fear,A film on zombies.
anger,When males in my family try to assign house duties exclusively Ã¡ with referance to sex.
sadness,I had a quarrell with my boyfriend and decided to finish with him Ã¡ and and my Easter holidays.
disgust,"When after a storm in the country, I left my shelter and saw a Ã¡ big, fat, slimy green toad by my side."
shame,When a friend from whom I preferred to hide my private life Ã¡ discovered that I had relations with a man.
guilt,When my brother had to spend all evening repairing a gear-lever Ã¡ that I had broken.
joy,When I passed the university entrance exam.
fear,"When I was walking down the street, some boys showed me a knife Ã¡ and stole all my money."
anger,"When they threw my holder down on the floor, with all my notes for Ã¡ an exam inside it and they got all mixed up."
sadness,When my mother was operated.
disgust,When I see pornographic films.
shame,One day I got on the bus without any money or season ticket and Ã¡ the driver threw me out.
guilt,When a friend of mine was beaten for what was my fault.
